,HT Mean,HT Std,PPT Mean,PPT Std,RRT Mean,RRT Std,RPT Mean,RPT Std
503,122.53846153846153,33.36069389919667,192.0,77.1197416065079,192.58333333333334,93.62445128697887,69.83333333333333,92.77424538125118
504,146.69230769230768,39.996634473800036,171.41666666666666,50.12250144910119,178.0,73.41909585634814,30.5,61.989001957092064
505,156.23076923076923,80.77040902681486,166.5,44.1989304683434,174.66666666666666,65.5332439347089,12.333333333333334,83.92240283124463
506,148.3846153846154,68.12432074467294,199.41666666666666,148.46637717515424,213.33333333333334,192.69869713827302,52.666666666666664,203.8293998480696
507,135.92307692307693,59.667776812477186,199.41666666666666,163.78725576648247,214.16666666666666,196.9392307440562,67.08333333333333,208.90818267334285
508,161.3846153846154,56.07961373728493,147.66666666666666,34.253953543107016,152.41666666666666,63.903988114746774,-13.916666666666666,66.50558190289311
509,164.69230769230768,68.46457066174764,162.66666666666666,40.222863993987154,174.33333333333334,62.214195008905,4.166666666666667,80.23922565262785
510,153.6153846153846,71.22328559015239,156.25,71.42462651444019,166.58333333333334,50.44251153240657,5.916666666666667,84.39351368153332
511,151.92307692307693,59.82260099447022,174.75,74.70928505030197,180.0,74.66044346360272,23.5,105.79955318688947
512,67.46153846153847,27.491257351551436,188.0,58.483875011524646,184.0,52.60141719487309,116.91666666666667,55.54107134419182
513,61.53846153846154,22.333141981575963,215.16666666666666,112.45349207022376,215.33333333333334,119.84105635331652,152.5,105.85796659160373
514,73.6923076923077,16.625204837758716,158.5,40.69062880722382,160.41666666666666,47.10039245799307,84.66666666666667,45.02995635903914
515,66.38461538461539,16.681019460944533,156.16666666666666,35.4062997305008,158.58333333333334,43.33895651160918,90.5,41.174793701530994
516,69.61538461538461,13.500237414816462,160.5,36.180105030251084,158.25,34.91841139779206,88.83333333333333,30.945210624684083
517,64.46153846153847,19.172964405708473,178.58333333333334,56.15313208026995,175.33333333333334,48.066872609149875,112.08333333333333,52.22757602042906
518,65.53846153846153,21.129029732477008,193.91666666666666,93.96368576436453,193.91666666666666,102.0841527487212,126.91666666666667,101.0719440734563
519,77.53846153846153,30.40179650562168,161.75,58.51825666949045,153.0,40.54402769605139,83.16666666666667,42.3273677495549
520,131.30769230769232,21.183266255012924,266.5,50.6458290484024,268.8333333333333,61.74115075838559,135.66666666666666,58.22110416075059
521,123.61538461538461,30.693480473705545,377.3333333333333,235.28448286869215,381.3333333333333,229.61601675735767,255.5,227.84584102574107
522,120.61538461538461,23.61686707115087,419.25,325.4183670851472,422.9166666666667,326.55264321067557,300.5,318.8446472671434
523,130.3846153846154,29.463362733906386,401.3333333333333,384.5404183350995,403.9166666666667,364.76554321255657,272.6666666666667,374.5927081106851
524,118.53846153846153,24.928616035309652,288.6666666666667,115.24072302109286,290.5833333333333,114.63496082096528,170.16666666666666,106.0607316016573
525,138.53846153846155,25.411989901800897,336.8333333333333,160.61859585158047,340.3333333333333,164.17968722399763,199.5,162.43963913908564
526,123.0,21.53292053267895,316.6666666666667,143.78477181558765,318.5833333333333,162.1791704669047,195.41666666666666,152.63292765999284
527,134.76923076923077,28.96018486978817,401.75,233.2856715391122,406.25,224.85555969838222,271.25,231.01716779967202
528,67.61538461538461,25.045087547389613,247.08333333333334,169.04945932173132,247.0,171.19101505734358,179.58333333333334,171.00954696014824
529,54.38461538461539,15.108157076771814,241.58333333333334,188.6427399433472,242.0,202.7793247484924,186.0,192.55884578722706
530,62.15384615384615,30.163018620617073,170.08333333333334,80.98648409494392,181.08333333333334,72.31931507787759,113.83333333333333,68.81970295744901
531,63.61538461538461,31.55560822193751,185.91666666666666,122.86389981922224,185.5,142.30473064391205,122.41666666666667,122.25714950897803
532,77.84615384615384,32.51370519705537,180.58333333333334,54.38826466558143,177.91666666666666,78.4966222010202,99.5,63.415656225773255
533,64.84615384615384,19.675899614529083,178.0,60.716928895864406,173.83333333333334,60.5097037046476,112.33333333333333,57.95191319037054
534,65.53846153846153,16.03441810925997,187.5,86.59046766768898,188.16666666666666,78.83450252192112,123.16666666666667,84.79583323096325
535,56.61538461538461,13.653683639336196,217.75,204.03124760683104,219.0,193.6787405614115,162.08333333333334,197.71626057805588
536,90.07692307692308,19.817759453166993,142.16666666666666,55.80621231846266,142.91666666666666,52.910659406095846,52.833333333333336,58.93113597987729
537,60.92307692307692,35.48112535433814,159.75,92.4800961386729,167.91666666666666,90.40560957387679,102.0,82.83279982756062
538,75.6923076923077,32.247440765081436,173.75,39.50172608426578,176.0,41.34555049161331,97.75,54.65781986804151
539,102.53846153846153,41.04594049073831,139.75,37.348786033575685,149.66666666666666,70.95367673647534,44.666666666666664,45.78275446126637
540,61.30769230769231,39.875607864509135,149.66666666666666,151.18281127245393,158.33333333333334,141.8727556223491,91.91666666666667,128.10539576552745
541,73.53846153846153,40.165522911686715,158.16666666666666,127.43542630990756,167.0,136.1563272659242,87.58333333333333,112.874393853871
542,71.76923076923077,54.21739242185704,105.5,71.10875153913578,115.25,84.18067690174726,37.583333333333336,52.00080127587779
543,75.0,45.73838650411709,143.91666666666666,85.54260855730247,146.66666666666666,102.42720992652946,72.66666666666667,86.03734213947013
544,112.07692307692308,55.30741592598823,215.33333333333334,49.031220727824085,221.33333333333334,103.1251078970969,107.91666666666667,87.2451700495202
545,102.61538461538461,44.8860380325153,187.41666666666666,59.067693574765755,194.0,66.84581988698797,88.25,80.9479350065101
546,111.6923076923077,50.67278134492688,202.75,70.02223672779695,209.41666666666666,85.5627981323801,93.25,93.49197826551752
547,107.23076923076923,36.93271775845424,205.91666666666666,55.537797666967045,210.66666666666666,61.44670023440616,103.66666666666667,71.55713970264772
548,116.07692307692308,61.071626716042125,450.5,591.3138683551155,455.6666666666667,583.0182179179674,336.25,585.4277573628613
549,107.6923076923077,38.182423127630805,183.58333333333334,50.22034780179577,189.0,71.5122367151245,78.16666666666667,68.79988548263901
550,113.38461538461539,36.24807687206422,186.0,60.29623838711967,191.5,69.52108901751912,75.08333333333333,78.80177470698041
551,96.6923076923077,39.80030279487962,222.0,104.48053320203634,225.5,132.9822271105155,126.75,125.31931941317674
552,76.84615384615384,18.906992330203103,188.0,116.21218837657575,187.5,128.19622742995492,110.08333333333333,124.1087926951287
553,58.15384615384615,22.161701776736948,216.0,176.02789035212055,215.16666666666666,177.80471071238566,158.33333333333334,182.2327848626253
